Review
I love edible arrangements! They have something for everyone and all different price ranges. This time I did the apples which were fabulous and the individual chocolate strawberry cones. They were a hit for a party!
"Food was good, service was good.  Order was delivered on time. 

Thank you!"
Big office hit! Everyone was happy with this snack time option
It arrived on time and it was delicious. Would order again
"Fruit was fresh, arrangement was beautiful, and was ready when I picked it up."
Thank you for delivering on time and for being communicative :)
Everything was arranged wonderfully. I especially enjoyed the cheesecake
We love Edible arrangements.  Fruit is always so fresh and delicious.
This is literally the best for a snack! Everyone loved the individual containers!
We love Edible Arrangements.  It is always a wonderful choice.
"Edible Arrangements delivery is superb! Fresh, beautifully arranged fruit that's perfect for any occasion. Quick and reliable service. Highly recommend!"
"The cookie, cupcake and cheesecake platters are perfect for parties"
Food was great! Customer service was great! Thanks so much!! We appreciate it.
The presentation was very very nice and so good tasting. Thank you much
Fruit and dessert were very good and the office loved everything!
"Never disappoints! Edible Arrangements is such a nice change from the heavy cakes and donuts, especially in the summer months"
wonderful delivery and the quality of fruit we received was awesome.
"Went to pick up, they were closed due to  the lock on the door, did not find out till we got there to pick it up. Another one of their stores offered to remake the order, area manager said no this store would remake when they opened, as of now still do not have the order! TERRIBLE SERVICE!"
"Beautiful presentation, and delicious.  Everyone enjoyed the snacks.  Would use again"
Great value and beautiful presentation . I love ordering from here
"Great at keeping in contact with us, cookies were delicious"
The presentation and the fruit were excellent!! Would order again. Thank you.
food was stale and there were no utensils included with the order. i had no way to serve or plates to place the food on. no napkins either even though these items were specifically requested. this is the second time this has happened with this vendor. i complained to ezcater who did absolutely nothing. NEVER AGAIN.
Arrived on time and everything was delicious! Always a good time!
"Great snack for the office, everyone enjoyed it!"
"The order was 40 minutes late.   Plus, when the restaurant was called multiple times to get an ETA, nobody answered.  By the time it arrived, other food was ordered."
Arrived late but it was delicious. Good variety and fresh fruit
"Loved everything about the tray, it's a perfect mix of healthy and sweet! The order was just a tad early this time, but all in all that's okay!"
Amazing presentation and delivered with less than 24-hour notice. There was a great variety for everyone's preference. We will definitely be ordering again.
Fresh fruit was nicely packaged. Came on time. My team loved it!
The chocolate covered strawberries were a hit for this hard working crew. Lots of compliments.
Such a healthy and a unhealthy snack. Served right on time. Very professional.
TINY. For over $100 you’d expect something nice. So disappointing
Good option for a snack but they were out of many items & didn’t offer to remedy it.
The fruit is so fresh and juicy! You can't go wrong when you order from Edible Arrangements.
This was a last minute staff anniversary gift and it was awesome. Always great presentation.
